===== Starting battle of <NestDarwin> vs <CleanUpOnAisleSix> with memory tape size: 13 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ >127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ >126 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 128 ]
[ >125 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 128 ]
[ >124 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 128 ]
[ >123 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 128 ]
[ 123 | >0 | 0 | 0 | 0 | 0 | 0 | -1< | 0 | 0 | 0 | 0 | 128 ]
[ 123 | >0 | 0 | 0 | 0 | 0 | 0 | -2< | 0 | 0 | 0 | 0 | 128 ]
[ 123 | >-1 | 0 | 0 | 0 | 0 | 0 | -3< | 0 | 0 | 0 | 0 | 128 ]
[ 123 | >-2 | 0 | 0 | 0 | 0 | 0 | -4< | 0 | 0 | 0 | 0 | 128 ]
[ 123 | >-3 | 0 | 0 | 0 | 0 | 0< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | >-4 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | >-5 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | >-6 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | >-7 | 0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | >0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | >0 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | >-1 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | >-2 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | >-3 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | >-4 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | >-5 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | >-6 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | >-7 | 0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | >0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | >0 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | >-1 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | >-2 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | >-3 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | >-4 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | >-5 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | >-6 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | >-7 | 0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | >0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | >0 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | >-1 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | >-2 | 0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >0 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >-1 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | >-2 | 1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -2 | >1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -2 | >1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -2 | >0< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -2 | >-1< | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -2< | >-2 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -2< | >-3 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -1< | >-4 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -1< | >-5 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -2< | >-6 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -2< | >-7 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -3< | >-7 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -3< | >-7 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -4< | >-6 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -4< | >-6 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -5< | >-6 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -5< | >-5 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -6< | >-5 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -6< | >-5 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -7< | >-4 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -7< | >-4 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -8< | >-4 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -8< | >-3 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -9< | >-3 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -9< | >-3 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -10< | >-2 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -10< | >-2 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -11< | >-2 | -4 | 0 | 0 | 0 | 0 | 128 ]
[ 123 | -7 | -7 | -7 | -2 | -11< | >-1 | -4 | 0 | 0 | 0 | 0 | 128 ]
