===== Starting battle of <StallBot> vs <PatientBot> with memory tape size: 10 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ >127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ >127 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 128 ]
[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 0 | 128 ]
[ >127 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 0 | 128 ]
[ >127 | 0 | 0 | 0 | 0 | 0 | -1< | -1 | 0 | 128 ]
[ >128 | 0 | 0 | 0 | 0 | 0< | -1 | -1 | 0 | 128 ]
[ >127 | 0 | 0 | 0 | 0 | 1< | -1 | -1 | 0 | 128 ]
[ >127 | 0 | 0 | 0 | 0< | 1 | -1 | -1 | 0 | 128 ]
[ >128 | 0 | 0 | 0 | 1< | 1 | -1 | -1 | 0 | 128 ]
[ >127 | 0 | 0 | 0< | 1 | 1 | -1 | -1 | 0 | 128 ]
[ >127 | 0 | 0 | -1< | 1 | 1 | -1 | -1 | 0 | 128 ]
[ >128 | 0 | 0< | -1 | 1 | 1 | -1 | -1 | 0 | 128 ]
[ >127 | 0 | -1< | -1 | 1 | 1 | -1 | -1 | 0 | 128 ]
[ >127 | 0< | -1 | -1 | 1 | 1 | -1 | -1 | 0 | 128 ]
[ >128 | 1< | -1 | -1 | 1 | 1 | -1 | -1 | 0 | 128 ]
[ >127< | 1 | -1 | -1 | 1 | 1 | -1 | -1 | 0 | 128 ]
[ >126< | 1 | -1 | -1 | 1 | 1 | -1 | -1 | 0 | 128 ]
[ >127 | 1 | -1 | -1 | 1 | 1 | -1 | -1 | 0 | 128< ]

===== StallBot won the battle after 18 cycles =====



===== Starting battle of <StallBot> vs <PatientBot> with memory tape size: 23 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ >127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ >127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 128 ]
[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 0 | 128 ]
[ >127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 0 | 128 ]
[ >127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | -1 | 0 | 128 ]
[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | -1 | 0 | 128 ]
[ >127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | -1 | 0 | 128 ]
[ >127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | -1 | -1 | 0 | 128 ]
[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | 1 | -1 | -1 | 0 | 128 ]
