===== Starting battle of <TheWallmaster> vs <CounterPunch> with memory tape size: 10 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ >-127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -127< ]
[ -127 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -126< ]
[ -127 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | -125< ]
[ -127 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | -124< ]
[ -127 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | -123< ]
[ -127 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | -122< ]
[ -127 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | 0< | -122 ]
[ -127 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | -1< | -122 ]
[ -127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | >-2< | -122 ]
[ -127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3< | >-122 ]
[ -127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4< | >-122 ]
[ -127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -5< | >-121 ]
[ -127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6< | >-121 ]
[ -127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -7< | >-120 ]
[ -127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -8< | >-120 ]
[ -127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -9< | >-119 ]
[ -127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -10< | >-119 ]
[ -127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -11< | >-118 ]
[ -127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -12< | >-118 ]
[ -127 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -12 | >-117 ]
[ -127 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | -12 | >-117 ]
[ -127 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | -12 | >-116 ]
[ -127 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | -12 | >-116 ]
[ -127 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | -12 | >-115 ]
[ -127 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | -12 | >-115 ]
[ -127 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | -12 | >-114 ]
