===== Starting battle of <TerribleThor> vs <FastClearBot> with memory tape size: 13 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 128 ]
[ 128 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 128 ]
[ 128 | -2 | >0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 128 ]
[ 128 | -2 | 0 | >0 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -2 | 0 | >-1 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -2 | 0 | >-2 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -2 | 0 | -2 | >0< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -2 | 0 | -2< | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -2 | 0 | -2< | 0 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -2 | 0 | -1< | 0 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -2 | 0 | 0< | 0 | -2 | >0 | 0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -2 | 0 | 1< | 0 | -2 | 0 | >0 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -2 | 0 | 1< | 0 | -2 | 0 | >-1 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -2 | 0 | 0< | 0 | -2 | 0 | >-2 | 0 | 0 | 0 | 0 | 128 ]
[ 128 | -2 | 0 | 0< | 0 | -2 | 0 | -2 | >0 | 0 | 0 | 0 | 128 ]
[ 128 | -2 | 0 | 0< | 0 | -2 | 0 | -2 | 0 | >0 | 0 | 0 | 128 ]
[ 128 | -2 | 0< | 0 | 0 | -2 | 0 | -2 | 0 | >0 | 0 | 0 | 128 ]
[ 128 | -2 | 0< | 0 | 0 | -2 | 0 | -2 | 0 | 0 | >0 | 0 | 128 ]
