===== Starting battle of <CounterPunch> vs <MultiVAC> with memory tape size: 10 =====

[ -122 | -45< | 0 | 0 | 0 | 0 | >11 | -8 | -4 | 128 ]
[ -122 | -46< | 0 | 0 | 0 | 0 | >12 | -8 | -4 | 128 ]
[ -122 | -47< | 0 | 0 | 0 | >0 | 12 | -8 | -4 | 128 ]
[ -122 | -48< | 0 | 0 | 0 | >-1 | 12 | -8 | -4 | 128 ]
[ -122 | -49< | 0 | 0 | 0 | >-2 | 12 | -8 | -4 | 128 ]
[ -122 | -50< | 0 | 0 | 0 | >-3 | 12 | -8 | -4 | 128 ]
[ -122 | -51< | 0 | 0 | 0 | >-4 | 12 | -8 | -4 | 128 ]
[ -122 | -52< | 0 | 0 | 0 | >-5 | 12 | -8 | -4 | 128 ]
[ -122 | -53< | 0 | 0 | 0 | >-6 | 12 | -8 | -4 | 128 ]
[ -122 | -54< | 0 | 0 | 0 | >-7 | 12 | -8 | -4 | 128 ]
[ -122 | -55< | 0 | 0 | 0 | >-8 | 12 | -8 | -4 | 128 ]
[ -122 | -56< | 0 | 0 | 0 | >-9 | 12 | -8 | -4 | 128 ]
[ -122 | -57< | 0 | 0 | 0 | >-10 | 12 | -8 | -4 | 128 ]
[ -122 | -58< | 0 | 0 | 0 | >-11 | 12 | -8 | -4 | 128 ]
[ -122 | -59< | 0 | 0 | 0 | >-12 | 12 | -8 | -4 | 128 ]
[ -122 | -60< | 0 | 0 | >0 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -61< | 0 | 0 | >1 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -62< | 0 | 0 | >2 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -63< | 0 | 0 | >3 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -64< | 0 | 0 | >4 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -65< | 0 | 0 | >5 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -66< | 0 | 0 | >6 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -67< | 0 | 0 | >7 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -68< | 0 | 0 | >8 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -69< | 0 | 0 | >9 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -70< | 0 | 0 | >10 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -71< | 0 | 0 | >11 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -72< | 0 | 0 | >12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -73< | 0 | >0 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -74< | 0 | >-1 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -75< | 0 | >-2 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -76< | 0 | >-3 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -77< | 0 | >-4 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -78< | 0 | >-5 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -79< | 0 | >-6 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -80< | 0 | >-7 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -81< | 0 | >-8 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -82< | 0 | >-9 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -83< | 0 | >-10 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -84< | 0 | >-11 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -85< | 0 | >-12 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -86< | >0 | -12 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -87< | >1 | -12 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -88< | >2 | -12 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -89< | >3 | -12 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -90< | >4 | -12 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -91< | >5 | -12 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -92< | >6 | -12 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -92 | >7< | -12 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -92 | >9< | -12 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -92 | >11< | -12 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -92 | >13< | -12 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -92 | >15< | -12 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -92 | >17< | -12 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -92 | 18< | >-12 | 12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -92 | 19< | -12 | >12 | -12 | 12 | -8 | -4 | 128 ]
[ -122 | -92 | 20< | -12 | 12 | >-12 | 12 | -8 | -4 | 128 ]
[ -122 | -92 | 21< | -12 | 12 | -12 | >12 | -8 | -4 | 128 ]
[ -122 | -92 | 22< | -12 | 12 | -12 | 12 | >-8 | -4 | 128 ]
[ -122 | -92 | 23< | -12 | 12 | -12 | 12 | -8 | >-4 | 128 ]
[ -122 | -92 | 24< | -12 | 12 | -12 | 12 | -8 | -4 | >128 ]
[ -122 | -92 | 25< | -12 | 12 | -12 | 12 | -8 | -4 | >128 ]
[ -122 | -92 | 26< | -12 | 12 | -12 | 12 | -8 | -4 | >127 ]
[ -122 | -92 | 27< | -12 | 12 | -12 | 12 | -8 | -4 | >127 ]
[ -122 | -92 | 28< | -12 | 12 | -12 | 12 | -8 | -4 | >126 ]
[ -122 | -92 | 29< | -12 | 12 | -12 | 12 | -8 | -4 | >125 ]
[ -122 | -92 | 30< | -12 | 12 | -12 | 12 | -8 | -4 | >124 ]
[ -122 | -92 | 31< | -12 | 12 | -12 | 12 | -8 | -4 | >123 ]
[ -122 | -92 | 32< | -12 | 12 | -12 | 12 | -8 | -4 | >122 ]
[ -122 | -92 | 33< | -12 | 12 | -12 | 12 | -8 | -4 | >121 ]
[ -122 | -92 | 34< | -12 | 12 | -12 | 12 | -8 | -4 | >121 ]
[ -122 | -92 | 35< | -12 | 12 | -12 | 12 | -8 | -4 | >122 ]
[ -122 | -92 | 36< | -12 | 12 | -12 | 12 | -8 | -4 | >122 ]
[ -122 | -92 | 37< | -12 | 12 | -12 | 12 | -8 | -4 | >122 ]
[ -122 | -92 | 38< | -12 | 12 | -12 | 12 | -8 | -4 | >123 ]
[ -122 | -92 | 39< | -12 | 12 | -12 | 12 | -8 | -4 | >123 ]
[ -122 | -92 | 40< | -12 | 12 | -12 | 12 | -8 | -4 | >123 ]
[ -122 | -92 | 41< | -12 | 12 | -12 | 12 | -8 | -4 | >124 ]
[ -122 | -92 | 42< | -12 | 12 | -12 | 12 | -8 | -4 | >124 ]
[ -122 | -92 | 43< | -12 | 12 | -12 | 12 | -8 | -4 | >124 ]
[ -122 | -92 | 44< | -12 | 12 | -12 | 12 | -8 | -4 | >125 ]
[ -122 | -92 | 45< | -12 | 12 | -12 | 12 | -8 | -4 | >125 ]
[ -122 | -92 | 46< | -12 | 12 | -12 | 12 | -8 | -4 | >125 ]
[ -122 | -92 | 47< | -12 | 12 | -12 | 12 | -8 | -4 | >126 ]
[ -122 | -92 | 48< | -12 | 12 | -12 | 12 | -8 | -4 | >126 ]
[ -122 | -92 | 49< | -12 | 12 | -12 | 12 | -8 | -4 | >126 ]
[ -122 | -92 | 50< | -12 | 12 | -12 | 12 | -8 | -4 | >127 ]
[ -122 | -92 | 51< | -12 | 12 | -12 | 12 | -8 | -4 | >127 ]
[ -122 | -92 | 52< | -12 | 12 | -12 | 12 | -8 | -4 | >127 ]
