===== Starting battle of <FastTrapClearBot> vs <CounterPunch> with memory tape size: 13 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ >127 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -127< ]
[ 127 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -126< ]
[ 127 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -125< ]
[ 127 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -124< ]
[ 127 | -1 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -123< ]
[ 127 | -1 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -122< ]
[ 127 | -1 | -1 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -122 ]
[ 127 | -1 | -1 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | -122 ]
[ 127 | -1 | -1 | -1 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | -2< | -122 ]
[ 127 | -1 | -1 | -1 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | -3< | -122 ]
[ 127 | -1 | -1 | -1 | -1 | >-1 | 0 | 0 | 0 | 0 | 0 | -4< | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | >0 | 0 | 0 | 0 | 0 | -5< | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | >-1 | 0 | 0 | 0 | 0 | -6< | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | >0 | 0 | 0 | 0 | -7< | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | >-1 | 0 | 0 | 0 | -8< | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >0 | 0 | 0 | -9< | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >-1 | 0 | 0 | -10< | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >0 | 0 | -11< | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >1 | 0 | -12< | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >1 | 0< | -12 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >0< | 0 | -12 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1< | >0 | 0 | -12 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1< | -1 | 0 | >0 | -12 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1< | -1 | -1 | 0 | >1 | -12 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -1< | -1 | -1 | -1 | 0 | >1 | -12 | -122 ]
[ 127 | -1 | -1 | -1 | -1< | -1 | -1 | -1 | -1 | 0 | >0 | -12 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -1< | -1 | -1 | -1 | 0 | >0 | -12 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -2< | -1 | -1 | -1 | 0 | 0 | >-12 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -3< | -1 | -1 | -1 | 0 | 0 | >-11 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -4< | -1 | -1 | -1 | 0 | 0 | >-11 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -5< | -1 | -1 | -1 | 0 | 0 | >-12 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -6< | -1 | -1 | -1 | 0 | 0 | >-12 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -7< | -1 | -1 | -1 | 0 | 0 | >-13 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -8< | -1 | -1 | -1 | 0 | 0 | >-13 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -9< | -1 | -1 | -1 | 0 | 0 | >-14 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -10< | -1 | -1 | -1 | 0 | 0 | >-14 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -11< | -1 | -1 | -1 | 0 | 0 | >-15 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -12< | -1 | -1 | -1 | 0 | 0 | >-15 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -13< | -1 | -1 | -1 | 0 | 0 | >-16 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -13 | -1< | -1 | -1 | 0 | 0 | >-16 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -13 | 0< | -1 | -1 | 0 | 0 | >-17 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -13 | 1< | -1 | -1 | 0 | 0 | >-17 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -13 | 2< | -1 | -1 | 0 | 0 | >-18 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -13 | 3< | -1 | -1 | 0 | 0 | >-18 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -13 | 4< | -1 | -1 | 0 | 0 | >-19 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -13 | 5< | -1 | -1 | 0 | 0 | >-19 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -13 | 6< | -1 | -1 | 0 | 0 | >-20 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -13 | 7< | -1 | -1 | 0 | 0 | >-20 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -13 | 8< | -1 | -1 | 0 | 0 | >-21 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -13 | 9< | -1 | -1 | 0 | 0 | >-21 | -122 ]
[ 127 | -1 | -1 | -1 | -1 | -13 | 10< | -1 | -1 | 0 | 0 | >-22 | -122 ]
