===== Starting battle of <FastClearBot> vs <Bigger> with memory tape size: 12 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -127< ]
[ 128 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -127 ]
[ 128 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | -127 ]
[ 128 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0< | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | 1< | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | 0< | 1 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | >0 | 1< | 1 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | >1 | 1 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 1 | >1 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | >1 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -1< | -1 | 1 | >2 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -2< | -1 | 1 | >3 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -3< | -1 | 1 | >4 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -4< | -1 | 1 | >4 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -5< | -1 | 1 | >3 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -6< | -1 | 1 | >3 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -7< | -1 | 1 | >2 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -8< | -1 | 1 | >2 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -9< | -1 | 1 | >1 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -10< | -1 | 1 | >1 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -11< | -1 | 1 | >0 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -12< | -1 | 1 | >0 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -13< | -1 | 1 | >0 | -1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -14< | -1 | 1 | 0 | >-1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -15< | -1 | 1 | 0 | >-1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -16< | -1 | 1 | 0 | >0 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -17< | -1 | 1 | 0 | >1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | -18< | -1 | 1 | 0 | >2 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 0< | -18 | -1 | 1 | 0 | >2 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 1< | -18 | -1 | 1 | 0 | >1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 2< | -18 | -1 | 1 | 0 | >1 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 3< | -18 | -1 | 1 | 0 | >0 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 4< | -18 | -1 | 1 | 0 | >0 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 5< | -18 | -1 | 1 | 0 | >0 | -127 ]
[ 128 | 0 | 0 | 0 | 0 | 6< | -18 | -1 | 1 | 0 | 0 | >-127 ]
[ 128 | 0 | 0 | 0 | 0 | 7< | -18 | -1 | 1 | 0 | 0 | >-127 ]
[ 128 | 0 | 0 | 0 | 0 | 8< | -18 | -1 | 1 | 0 | 0 | >-126 ]
[ 128 | 0 | 0 | 0 | 0 | 9< | -18 | -1 | 1 | 0 | 0 | >-125 ]
[ 128 | 0 | 0 | 0 | 0 | 10< | -18 | -1 | 1 | 0 | 0 | >-124 ]
[ 128 | 0 | 0 | 0 | 0 | 11< | -18 | -1 | 1 | 0 | 0 | >-124 ]
[ 128 | 0 | 0 | 0 | 0 | 12< | -18 | -1 | 1 | 0 | 0 | >-125 ]
[ 128 | 0 | 0 | 0 | 0 | 13< | -18 | -1 | 1 | 0 | 0 | >-125 ]
[ 128 | 0 | 0 | 0 | 0 | 14< | -18 | -1 | 1 | 0 | 0 | >-126 ]
[ 128 | 0 | 0 | 0 | 0 | 15< | -18 | -1 | 1 | 0 | 0 | >-126 ]
[ 128 | 0 | 0 | 0 | 0 | 16< | -18 | -1 | 1 | 0 | 0 | >-127 ]
[ 128 | 0 | 0 | 0 | 0 | 17< | -18 | -1 | 1 | 0 | 0 | >-127 ]
[ 128 | 0 | 0 | 0 | 0 | 18< | -18 | -1 | 1 | 0 | 0 | >128 ]
[ 128 | 0 | 0 | 0 | 0< | 18 | -18 | -1 | 1 | 0 | 0 | >128 ]
