===== Starting battle of <TruthBot> vs <RandomOscillator> with memory tape size: 10 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 128 ]
[ 128 | >2 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 128 ]
[ 128 | 2 | >0 | 0 | 0 | 0 | 0 | 1< | -1 | 128 ]
[ 128 | 2 | >-1 | 0 | 0 | 0 | 0< | 1 | -1 | 128 ]
[ 128 | 2 | >-2 | 0 | 0 | 0 | -1< | 1 | -1 | 128 ]
[ 128 | 2 | >-3 | 0 | 0 | 0< | -1 | 1 | -1 | 128 ]
[ 128 | 2 | >-4 | 0 | 0 | 1< | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | >0 | 0< | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | >1 | 1< | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | >2< | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 1< | >1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4< | 1 | >0 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -5< | 1 | >-1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2< | -5 | 1 | >-2 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 3< | -5 | 1 | >-3 | 1 | -1 | 1 | -1 | 128 ]
[ 128< | 3 | -5 | 1 | -3 | >1 | -1 | 1 | -1 | 128 ]
[ 128< | 3 | -5 | 1 | -3 | >2 | -1 | 1 | -1 | 128 ]
[ -127< | 3 | -5 | 1 | -3 | >3 | -1 | 1 | -1 | 128 ]
[ -127< | 3 | -5 | 1 | -3 | 3 | >-1 | 1 | -1 | 128 ]
[ 128< | 3 | -5 | 1 | -3 | 3 | >-2 | 1 | -1 | 128 ]
[ 128< | 3 | -5 | 1 | -3 | 3 | >-3 | 1 | -1 | 128 ]
[ 127< | 3 | -5 | 1 | -3 | 3 | >-4 | 1 | -1 | 128 ]
[ 127< | 3 | -5 | 1 | -3 | 3 | >-5 | 1 | -1 | 128 ]
[ 126< | 3 | -5 | 1 | -3 | 3 | -5 | >1 | -1 | 128 ]
[ 126< | 3 | -5 | 1 | -3 | 3 | -5 | >2 | -1 | 128 ]
[ 125< | 3 | -5 | 1 | -3 | 3 | -5 | >3 | -1 | 128 ]
[ 125< | 3 | -5 | 1 | -3 | 3 | -5 | 3 | >-1 | 128 ]
[ 124< | 3 | -5 | 1 | -3 | 3 | -5 | 3 | >-2 | 128 ]
[ 124< | 3 | -5 | 1 | -3 | 3 | -5 | 3 | >-3 | 128 ]
[ 123< | 3 | -5 | 1 | -3 | 3 | -5 | 3 | >-4 | 128 ]
[ 123< | 3 | -5 | 1 | -3 | 3 | -5 | 3 | >-5 | 128 ]
[ 122< | 3 | -5 | 1 | -3 | 3 | -5 | 3 | -5 | >128 ]
[ 122< | 3 | -5 | 1 | -3 | 3 | -5 | 3 | -5 | >127 ]
[ 121< | 3 | -5 | 1 | -3 | 3 | -5 | 3 | -5 | >126 ]
[ 121< | 3 | -5 | 1 | -3 | 3 | -5 | 3 | -5 | >125 ]
[ 120< | 3 | -5 | 1 | -3 | 3 | -5 | 3 | -5 | >124 ]
[ >120< | 3 | -5 | 1 | -3 | 3 | -5 | 3 | -5 | 124 ]

===== RandomOscillator won the battle after 38 cycles =====



===== Starting battle of <TruthBot> vs <RandomOscillator> with memory tape size: 22 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 128 ]
[ 128 | >2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 128 ]
[ 128 | 2 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | 128 ]
[ 128 | 2 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | -1 | 128 ]
[ 128 | 2 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 1 | -1 | 128 ]
[ 128 | 2 | >-3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | -1 | 128 ]
[ 128 | 2 | >-4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | >2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | >-3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | >-4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
[ 128 | 2 | -4 | 2 | -4 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 1 | -1 | -1 | 1 | 1 | -1 | 1 | -1 | 128 ]
