===== Starting battle of <AnybodyThere> vs <NestDarwin> with memory tape size: 13 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 127< ]
[ 128 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 126< ]
[ 128 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 125< ]
[ 128 | 0 | 0 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 124< ]
[ 128 | 0 | >0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 123< ]
[ 128 | 0 | >1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 123 ]
[ 128 | 0 | >2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 123 ]
[ 128 | 0 | >3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 123 ]
[ 128 | 0 | >4 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -2< | 123 ]
[ 128 | 0 | >5 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3< | 123 ]
[ 128 | >0 | 5 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4< | 123 ]
[ 128 | >-1 | 5 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -5< | 123 ]
[ 128 | >-2 | 5 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6< | 123 ]
[ 128 | >-3 | 5 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -7< | 123 ]
[ 128 | >-4 | 5 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -7 | 123 ]
[ 128 | >-5 | 5 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -7 | 123 ]
[ 128 | -5 | >5 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | -7 | 123 ]
[ 128 | -5 | 5 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | -2< | -7 | 123 ]
[ 128 | -5 | 5 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | -3< | -7 | 123 ]
[ 128 | -5 | 5 | 1 | >0 | 0 | 0 | 0 | 0 | 0 | -4< | -7 | 123 ]
[ 128 | -5 | 5 | 1 | >0 | 0 | 0 | 0 | 0 | 0 | -5< | -7 | 123 ]
[ 128 | -5 | 5 | 1 | 0 | >0 | 0 | 0 | 0 | 0 | -6< | -7 | 123 ]
[ 128 | -5 | 5 | 1 | 0 | >0 | 0 | 0 | 0 | 0 | -7< | -7 | 123 ]
[ 128 | -5 | 5 | 1 | 0 | 0 | >0 | 0 | 0 | 0< | -7 | -7 | 123 ]
[ 128 | -5 | 5 | 1 | 0 | 0 | >0 | 0 | 0 | 0< | -7 | -7 | 123 ]
[ 128 | -5 | 5 | 1 | 0 | 0 | 0 | >0 | 0 | -1< | -7 | -7 | 123 ]
[ 128 | -5 | 5 | 1 | 0 | 0 | 0 | >0 | 0 | -2< | -7 | -7 | 123 ]
[ 128 | -5 | 5 | 1 | 0 | 0 | 0 | >1 | 0 | -3< | -7 | -7 | 123 ]
[ 128 | -5 | 5 | 1 | 0 | 0 | >0 | 1 | 0 | -4< | -7 | -7 | 123 ]
[ 128 | -5 | 5 | 1 | 0 | >0 | 0 | 1 | 0 | -5< | -7 | -7 | 123 ]
[ 128 | -5 | 5 | 1 | >0 | 0 | 0 | 1 | 0 | -6< | -7 | -7 | 123 ]
[ 128 | -5 | 5 | >1 | 0 | 0 | 0 | 1 | 0 | -7< | -7 | -7 | 123 ]
[ 128 | -5 | 5 | >1 | 0 | 0 | 0 | 1 | 0< | -7 | -7 | -7 | 123 ]
[ 128 | -5 | 5 | 1 | >0 | 0 | 0 | 1 | 0< | -7 | -7 | -7 | 123 ]
[ 128 | -5 | 5 | 1 | 0 | >0 | 0 | 1 | -1< | -7 | -7 | -7 | 123 ]
[ 128 | -5 | 5 | 1 | 0 | 0 | >0 | 1 | -2< | -7 | -7 | -7 | 123 ]
[ 128 | -5 | 5 | 1 | 0 | 0 | >1 | 1< | -2 | -7 | -7 | -7 | 123 ]
[ 128 | -5 | 5 | 1 | 0 | 0 | >2 | 1< | -2 | -7 | -7 | -7 | 123 ]
[ 128 | -5 | 5 | 1 | 0 | 0 | >3 | 0< | -2 | -7 | -7 | -7 | 123 ]
[ 128 | -5 | 5 | 1 | 0 | 0 | >4 | -1< | -2 | -7 | -7 | -7 | 123 ]
[ 128 | -5 | 5 | 1 | 0 | 0 | >5 | -2< | -2 | -7 | -7 | -7 | 123 ]
[ 128 | -5 | 5 | 1 | 0 | >0 | 5 | -3< | -2 | -7 | -7 | -7 | 123 ]
