===== Starting battle of <FastClearBot> vs <EvoBot1> with memory tape size: 11 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | 128 ]
[ 128 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0< | 1 | 128 ]
[ 128 | 0 | 0 | 0 | >0 | 0 | 0 | 0 | -1< | 1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | >0 | 0 | 0 | -2< | 1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | >0 | 0 | -3< | 1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0 | >0< | -3 | 1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | >-3 | 1 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | 0< | 0 | 0 | -3 | >1 | 128 ]
[ 128 | 0 | 0 | 0 | 0< | 0 | 0 | 0 | -3 | >1 | 128 ]
[ 128 | 0 | 0 | 0< | 0 | 0 | 0 | 0 | -3 | >2 | 128 ]
[ 128 | 0 | 0< | 0 | 0 | 0 | 0 | 0 | -3 | >3 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | -3 | >4 | 128 ]
[ 128 | 0< | 0 | 0 | 0 | 0 | 0 | 0 | -3 | >4 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | >3 | 128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | >3 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | >2 | 128 ]
[ -126< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | >2 | 128 ]
[ -125< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | >1 | 128 ]
[ -125< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | >1 | 128 ]
[ -126< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | >0 | 128 ]
[ -126< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | >0 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | >0 | 128 ]
[ -127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >128 ]
[ 128< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >-127 ]
[ 127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >-126 ]
[ 127< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >-125 ]
[ 126< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >-125 ]
[ 126< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >-126 ]
[ 125< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >-126 ]
[ 125< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >-127 ]
[ 124< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >-127 ]
[ 124< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >128 ]
[ 123< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >128 ]
[ 123< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >127 ]
[ 122< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >127 ]
[ 122< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >126 ]
[ 121< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >126 ]
[ 121< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >125 ]
[ 120< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >125 ]
[ 120< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >124 ]
[ 119< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >124 ]
[ 119< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >123 ]
[ 118< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >123 ]
[ 118< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >122 ]
[ 117< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >122 ]
[ 117< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >121 ]
[ 116< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >121 ]
[ 116< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >120 ]
[ 115< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >120 ]
[ 115< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >119 ]
[ 114< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >119 ]
[ 114< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >118 ]
[ 113< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >118 ]
[ 113< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >117 ]
[ 112< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >117 ]
[ 112< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >116 ]
[ 111< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >116 ]
[ 111< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >115 ]
[ 110< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >115 ]
[ 110< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >114 ]
[ 109< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >114 ]
[ 109< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >113 ]
[ 108< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >113 ]
[ 108< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >112 ]
[ 107< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >112 ]
[ 107< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >111 ]
[ 106< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >111 ]
[ 106< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >110 ]
[ 105< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >110 ]
[ 105< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >109 ]
[ 104< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >109 ]
[ 104< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >108 ]
[ 103< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >108 ]
[ 103< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >107 ]
[ 102< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >107 ]
[ 102< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >106 ]
[ 101< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >106 ]
[ 101< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >105 ]
[ 100< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >105 ]
[ 100< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >104 ]
[ 99< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >104 ]
[ 99< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >103 ]
[ 98< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >103 ]
[ 98< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >102 ]
[ 97< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >102 ]
[ 97< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >101 ]
[ 96< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >101 ]
[ 96< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >100 ]
[ 95< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >100 ]
[ 95< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >99 ]
[ 94< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >99 ]
[ 94< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >98 ]
[ 93< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >98 ]
[ 93< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >97 ]
[ 92< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >97 ]
[ 92< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >96 ]
[ 91< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >96 ]
[ 91< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >95 ]
[ 90< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >95 ]
[ 90< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >94 ]
[ 89< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >94 ]
[ 89< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >93 ]
[ 88< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >93 ]
[ 88< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >92 ]
[ 87< | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3 | 0 | >92 ]
