===== Starting battle of <Backtracker> vs <CounterPunch> with memory tape size: 16 =====

[ 128 | 0 | 0 | >0 | 1 | -4 | 4 | -1 | -7< | -4 | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 0 | >-1 | 1 | -4 | 4 | -1 | -8< | -4 | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | >0 | -1 | 1 | -4 | 4 | -1 | -9< | -4 | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | >1 | -1 | 1 | -4 | 4 | -1 | -10< | -4 | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | >2 | -1 | 1 | -4 | 4 | -1 | -11< | -4 | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | >3 | -1 | 1 | -4 | 4 | -1 | -11 | -4< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | >4 | -1 | 1 | -4 | 4 | -1 | -11 | -3< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | >0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | -2< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | >4 | -1 | 1 | -4 | 4 | -1 | -11 | -1< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 4 | >-1 | 1 | -4 | 4 | -1 | -11 | 0< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 4 | -1 | >1 | -4 | 4 | -1 | -11 | 1< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | >-4 | 4 | -1 | -11 | 2< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | >4 | -1 | -11 | 3< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | >-1 | -11 | 4< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | >-11 | 5< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | >6< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | -4 | 4 | -1 | -11 | 7< | >0 | 0 | 0 | 0 | -12 | -127 ]
