===== Starting battle of <Alternator> vs <CounterPunch> with memory tape size: 23 =====

[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-14 | 4< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-15 | 5< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-15 | 6< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-16 | 7< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-16 | 8< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-17 | 9< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-17 | 10< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-18 | 11< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-18 | 12< | 0 | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-19 | 12 | 0< | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-19 | 12 | -1< | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-20 | 12 | -2< | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-20 | 12 | -3< | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-21 | 12 | -4< | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-21 | 12 | -5< | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-22 | 12 | -6< | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-22 | 12 | -7< | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-23 | 12 | -8< | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-23 | 12 | -9< | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-24 | 12 | -10< | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-24 | 12 | -11< | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-25 | 12 | -12< | 0 | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-25 | 12 | -12 | 0< | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-26 | 12 | -12 | 1< | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-26 | 12 | -12 | 2< | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-27 | 12 | -12 | 3< | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-27 | 12 | -12 | 4< | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-28 | 12 | -12 | 5< | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-28 | 12 | -12 | 6< | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-29 | 12 | -12 | 7< | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-29 | 12 | -12 | 8< | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-30 | 12 | -12 | 9< | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-30 | 12 | -12 | 10< | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-31 | 12 | -12 | 11< | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-31 | 12 | -12 | 12< | 0 | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-32 | 12 | -12 | 12 | 0< | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-32 | 12 | -12 | 12 | -1< | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-33 | 12 | -12 | 12 | -2< | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-33 | 12 | -12 | 12 | -3< | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-34 | 12 | -12 | 12 | -4< | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-34 | 12 | -12 | 12 | -5< | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-35 | 12 | -12 | 12 | -6< | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-35 | 12 | -12 | 12 | -7< | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-36 | 12 | -12 | 12 | -8< | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-36 | 12 | -12 | 12 | -9< | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-37 | 12 | -12 | 12 | -10< | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-37 | 12 | -12 | 12 | -11< | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-38 | 12 | -12 | 12 | -12< | 0 | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-38 | 12 | -12 | 12 | -12 | 0< | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-39 | 12 | -12 | 12 | -12 | 1< | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-39 | 12 | -12 | 12 | -12 | 2< | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-40 | 12 | -12 | 12 | -12 | 3< | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-40 | 12 | -12 | 12 | -12 | 4< | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-41 | 12 | -12 | 12 | -12 | 5< | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-41 | 12 | -12 | 12 | -12 | 6< | -12 | -127 ]
[ 128 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | -1 | 1 | 0 | 0 | 0 | 0 | 0 | >-42 | 12 | -12 | 12 | -12 | 7< | -12 | -127 ]
