===== Starting battle of <TerribleThor> vs <BurlyBalder> with memory tape size: 17 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1< | 128 ]
[ 128 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2< | 128 ]
[ 128 | -2 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3< | 128 ]
[ 128 | -2 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4< | 128 ]
[ 128 | -2 | 0 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5< | 128 ]
[ 128 | -2 | 0 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 6< | 128 ]
[ 128 | -2 | 0 | -2 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 7< | 128 ]
[ 128 | -2 | 0 | -2 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -2< | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3< | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | -4< | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | -5< | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | >-2 | 0 | 0 | 0 | 0 | 0 | 0 | -6< | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | >0 | 0 | 0 | 0 | 0 | 0 | -7< | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | >0 | 0 | 0 | 0 | 0< | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | >0 | 0 | 0 | 0 | 1< | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | >0 | 0 | 0 | 2< | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | >0 | 0 | 0 | 3< | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | >0 | 0 | 4< | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | >0 | 0 | 5< | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 0 | >0 | 6< | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 0 | >0 | 7< | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 0 | 0< | >7 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 0 | -1< | >7 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 0 | -2< | >8 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 0 | -3< | >8 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 0 | -4< | >9 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 0 | -5< | >9 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 0 | -6< | >10 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 0 | -7< | >10 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 0< | -7 | >11 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 1< | -7 | >11 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 2< | -7 | >12 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 3< | -7 | >12 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 4< | -7 | >13 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 5< | -7 | >13 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 6< | -7 | >14 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0 | 7< | -7 | >14 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | 0< | 7 | -7 | >15 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | -1< | 7 | -7 | >15 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | -2< | 7 | -7 | >16 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | -3< | 7 | -7 | >16 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | -4< | 7 | -7 | >17 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | -5< | 7 | -7 | >17 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | -6< | 7 | -7 | >18 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0 | -7< | 7 | -7 | >18 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 0< | -7 | 7 | -7 | >19 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 1< | -7 | 7 | -7 | >19 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 2< | -7 | 7 | -7 | >20 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 3< | -7 | 7 | -7 | >20 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 4< | -7 | 7 | -7 | >21 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 5< | -7 | 7 | -7 | >21 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 6< | -7 | 7 | -7 | >22 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0 | 7< | -7 | 7 | -7 | >22 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | 0< | 7 | -7 | 7 | -7 | >23 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | -1< | 7 | -7 | 7 | -7 | >23 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | -2< | 7 | -7 | 7 | -7 | >24 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | -3< | 7 | -7 | 7 | -7 | >24 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | -4< | 7 | -7 | 7 | -7 | >25 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | -5< | 7 | -7 | 7 | -7 | >25 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | -6< | 7 | -7 | 7 | -7 | >26 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | -7< | 7 | -7 | 7 | -7 | >26 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2 | -7< | 7 | -7 | 7 | -7 | >27 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2< | -7 | 7 | -7 | 7 | -7 | >27 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -2< | -7 | 7 | -7 | 7 | -7 | >28 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -1< | -7 | 7 | -7 | 7 | -7 | >28 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -1< | -7 | 7 | -7 | 7 | -7 | >29 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | 0< | -7 | 7 | -7 | 7 | -7 | >29 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | 0< | -7 | 7 | -7 | 7 | -7 | >30 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | 0< | -7 | 7 | -7 | 7 | -7 | >30 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | 0< | -7 | 7 | -7 | 7 | -7 | >31 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -1< | -7 | 7 | -7 | 7 | -7 | >31 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0 | -1< | -7 | 7 | -7 | 7 | -7 | >32 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0< | -1 | -7 | 7 | -7 | 7 | -7 | >32 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | 0< | -1 | -7 | 7 | -7 | 7 | -7 | >33 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | -1< | -1 | -7 | 7 | -7 | 7 | -7 | >33 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2 | -1< | -1 | -7 | 7 | -7 | 7 | -7 | >34 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2< | -1 | -1 | -7 | 7 | -7 | 7 | -7 | >34 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -2< | -1 | -1 | -7 | 7 | -7 | 7 | -7 | >35 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -1< | -1 | -1 | -7 | 7 | -7 | 7 | -7 | >35 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -1< | -1 | -1 | -7 | 7 | -7 | 7 | -7 | >36 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | 0< | -1 | -1 | -7 | 7 | -7 | 7 | -7 | >36 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | 0< | -1 | -1 | -7 | 7 | -7 | 7 | -7 | >37 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | 0< | -1 | -1 | -7 | 7 | -7 | 7 | -7 | >37 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | 0< | -1 | -1 | -7 | 7 | -7 | 7 | -7 | >38 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -1< | -1 | -1 | -7 | 7 | -7 | 7 | -7 | >38 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0 | -1< | -1 | -1 | -7 | 7 | -7 | 7 | -7 | >39 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0< | -1 | -1 | -1 | -7 | 7 | -7 | 7 | -7 | >39 | -7 | 7 | 128 ]
[ 128 | -2 | 0 | -2 | 0< | -1 | -1 | -1 | -7 | 7 | -7 | 7 | -7 | >40 | -7 | 7 | 128 ]
