===== Starting battle of <SternBot> vs <BeatYouMate> with memory tape size: 14 =====

[ 128 | -1 | 6< | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >106 ]
[ 128 | -1 | 6< | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >106 ]
[ 128 | -1 | 5< | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >105 ]
[ 128 | -1 | 5< | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >105 ]
[ 128 | -1 | 4< | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >104 ]
[ 128 | -1 | 4< | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >104 ]
[ 128 | -1 | 3< | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >103 ]
[ 128 | -1 | 3< | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >103 ]
[ 128 | -1 | 2< | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >102 ]
[ 128 | -1 | 2< | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >102 ]
[ 128 | -1 | 1< | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >101 ]
[ 128 | -1 | 1< | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >101 ]
[ 128 | -1 | 0< | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >100 ]
[ 128 | -1 | 0< | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >100 ]
[ 128 | -1 | 0< | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >99 ]
[ 128 | -1< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >99 ]
[ 128 | -1< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >98 ]
[ 128 | 0< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >98 ]
[ 128 | 1< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >97 ]
[ 128 | 2< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >97 ]
[ 128 | 3< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >96 ]
[ 128 | 4< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >96 ]
[ 128 | 5< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >95 ]
[ 128 | 5< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >95 ]
[ 128 | 4< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >94 ]
[ 128 | 4< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >94 ]
[ 128 | 3< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >93 ]
[ 128 | 3< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >93 ]
[ 128 | 2< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >92 ]
[ 128 | 2< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >92 ]
[ 128 | 1< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >91 ]
[ 128 | 1< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >91 ]
[ 128 | 0< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >90 ]
[ 128 | 0< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >90 ]
[ 128 | 0< | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >89 ]
[ 128< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >89 ]
[ 128< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >88 ]
[ -127< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >88 ]
[ -126< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >87 ]
[ -125< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >87 ]
[ -124< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >86 ]
[ -123< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >86 ]
[ -122< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >85 ]
[ -122< | 0 | 0 | 0 | 0 | 8 | -6 | 6 | -5 | 7 | -6 | 0 | 0 | >85 ]
