===== Starting battle of <FastTrapClearBot> vs <CropCircleBot> with memory tape size: 24 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | -1 | 1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1< | -1 | 1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >-1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | -1< | 1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | -1< | 1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | -2< | 1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | -2< | 1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | -3< | 1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | -3< | 1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | -4< | 1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | -4< | 1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | -5< | 1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | -5< | 1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | -6< | 1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | -6< | 1 | 128 ]
[ 127 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 0 | 0 | >1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | -7< | 1 | 128 ]
