===== Starting battle of <BurlyBalder> vs <PrussianRoulette> with memory tape size: 12 =====

[ 128 | 7 | -7 | 7< | -17 | 7 | -8 | >3 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 6< | -17 | 7 | -8 | >4 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 5< | -17 | 7 | -8 | >5 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 4< | -17 | 7 | -8 | >6 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 3< | -17 | 7 | -8 | >7 | 0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 2< | -17 | 7 | -8 | 7 | >0 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 1< | -17 | 7 | -8 | 7 | >-1 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | 0< | -17 | 7 | -8 | 7 | >-2 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | -1< | -17 | 7 | -8 | 7 | >-3 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | -2< | -17 | 7 | -8 | 7 | >-4 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | -3< | -17 | 7 | -8 | 7 | >-5 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7 | -3< | -17 | 7 | -8 | 7 | >-6 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -7< | -3 | -17 | 7 | -8 | 7 | >-7 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -8< | -3 | -17 | 7 | -8 | 7 | >-7 | -1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -9< | -3 | -17 | 7 | -8 | 7 | -7 | >-1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -10< | -3 | -17 | 7 | -8 | 7 | -7 | >-1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -11< | -3 | -17 | 7 | -8 | 7 | -7 | >0 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -12< | -3 | -17 | 7 | -8 | 7 | -7 | >0 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -13< | -3 | -17 | 7 | -8 | 7 | -7 | >0 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -14< | -3 | -17 | 7 | -8 | 7 | -7 | >-1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -15< | -3 | -17 | 7 | -8 | 7 | -7 | >-1 | 0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -16< | -3 | -17 | 7 | -8 | 7 | -7 | -1 | >0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -17< | -3 | -17 | 7 | -8 | 7 | -7 | -1 | >0 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7 | -17< | -3 | -17 | 7 | -8 | 7 | -7 | -1 | >-1 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 7< | -17 | -3 | -17 | 7 | -8 | 7 | -7 | -1 | >-1 | 0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 6< | -17 | -3 | -17 | 7 | -8 | 7 | -7 | -1 | -1 | >0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 5< | -17 | -3 | -17 | 7 | -8 | 7 | -7 | -1 | -1 | >0 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 4< | -17 | -3 | -17 | 7 | -8 | 7 | -7 | -1 | -1 | >-1 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 3< | -17 | -3 | -17 | 7 | -8 | 7 | -7 | -1 | -1 | >-1 | -1 | 0 | 0 | 4 | 128 ]
[ 128 | 2< | -17 | -3 | -17 | 7 | -8 | 7 | -7 | -1 | -1 | -1 | >-1 | 0 | 0 | 4 | 128 ]
[ 128 | 1< | -17 | -3 | -17 | 7 | -8 | 7 | -7 | -1 | -1 | -1 | >-1 | 0 | 0 | 4 | 128 ]
[ 128 | 0< | -17 | -3 | -17 | 7 | -8 | 7 | -7 | -1 | -1 | -1 | >0 | 0 | 0 | 4 | 128 ]
[ 128 | -1< | -17 | -3 | -17 | 7 | -8 | 7 | -7 | -1 | -1 | -1 | >0 | 0 | 0 | 4 | 128 ]
[ 128 | -2< | -17 | -3 | -17 | 7 | -8 | 7 | -7 | -1 | -1 | -1 | >0 | 0 | 0 | 4 | 128 ]
[ 128 | -3< | -17 | -3 | -17 | 7 | -8 | 7 | -7 | -1 | -1 | -1 | >-1 | 0 | 0 | 4 | 128 ]
