===== Starting battle of <FastClearBot> vs <PrimesAndWonders> with memory tape size: 11 =====

[ >128 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 128< ]
[ 128 | >0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0< | 128 ]
[ 128 | 0 | >0 | 0 | 0 | 0 | 0 | 0 | 0< | 0 | 128 ]
[ 128 | 0 | 0 | >0 | 0 | 0 | 0 | 0< | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | >0 | 0 | 0< | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | >0< | 0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | -1< | >0 | 0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0< | >0 | 0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0< | >0 | 0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0< | >0 | 128 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | >0< | 128 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | 0 | >128< ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | 0 | >127< ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | 0 | >127< ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | 0 | >127< ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | 0< | >128 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | -1< | >128 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | -2< | >127 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | -3< | >127 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | -4< | >126 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | -5< | >126 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | -6< | >125 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | -7< | >125 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | -8< | >124 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | -9< | >124 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | -10< | >123 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | -11< | >123 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | -12< | >122 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | -13< | >122 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | -14< | >121 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | -15< | >121 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | -16< | >120 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | -17< | >120 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0< | -17 | >119 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 1< | -17 | >119 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 2< | -17 | >118 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 3< | -17 | >118 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 4< | -17 | >117 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 5< | -17 | >117 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 6< | -17 | >116 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 7< | -17 | >116 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 8< | -17 | >115 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 9< | -17 | >115 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 10< | -17 | >114 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 11< | -17 | >114 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 12< | -17 | >113 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 13< | -17 | >113 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 14< | -17 | >112 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 15< | -17 | >112 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 16< | -17 | >111 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 17< | -17 | >111 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 18< | -17 | >110 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 19< | -17 | >110 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 20< | -17 | >109 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 21< | -17 | >109 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 22< | -17 | >108 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 23< | -17 | >108 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0 | 0< | 23 | -17 | >107 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 0< | 0 | 23 | -17 | >107 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 1< | 0 | 23 | -17 | >106 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 2< | 0 | 23 | -17 | >106 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 3< | 0 | 23 | -17 | >105 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 4< | 0 | 23 | -17 | >105 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 5< | 0 | 23 | -17 | >104 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 6< | 0 | 23 | -17 | >104 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 7< | 0 | 23 | -17 | >103 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 8< | 0 | 23 | -17 | >103 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 9< | 0 | 23 | -17 | >102 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 10< | 0 | 23 | -17 | >102 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 11< | 0 | 23 | -17 | >101 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 12< | 0 | 23 | -17 | >101 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 13< | 0 | 23 | -17 | >100 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 14< | 0 | 23 | -17 | >100 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 15< | 0 | 23 | -17 | >99 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 16< | 0 | 23 | -17 | >99 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 17< | 0 | 23 | -17 | >98 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 18< | 0 | 23 | -17 | >98 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 19< | 0 | 23 | -17 | >97 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 20< | 0 | 23 | -17 | >97 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 21< | 0 | 23 | -17 | >96 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 22< | 0 | 23 | -17 | >96 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 23< | 0 | 23 | -17 | >95 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 24< | 0 | 23 | -17 | >95 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 25< | 0 | 23 | -17 | >94 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 26< | 0 | 23 | -17 | >94 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 27< | 0 | 23 | -17 | >93 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 28< | 0 | 23 | -17 | >93 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 29< | 0 | 23 | -17 | >92 ]
[ 128 | 0 | 0 | 0 | 0 | -1 | 30< | 0 | 23 | -17 | >92 ]
[ 128 | 0 | 0 | 0 | 0 | -1< | 30 | 0 | 23 | -17 | >91 ]
[ 128 | 0 | 0 | 0 | 0 | -2< | 30 | 0 | 23 | -17 | >91 ]
[ 128 | 0 | 0 | 0 | 0 | -3< | 30 | 0 | 23 | -17 | >90 ]
[ 128 | 0 | 0 | 0 | 0 | -4< | 30 | 0 | 23 | -17 | >90 ]
[ 128 | 0 | 0 | 0 | 0 | -5< | 30 | 0 | 23 | -17 | >89 ]
[ 128 | 0 | 0 | 0 | 0 | -6< | 30 | 0 | 23 | -17 | >89 ]
[ 128 | 0 | 0 | 0 | 0 | -7< | 30 | 0 | 23 | -17 | >88 ]
[ 128 | 0 | 0 | 0 | 0 | -8< | 30 | 0 | 23 | -17 | >88 ]
[ 128 | 0 | 0 | 0 | 0 | -9< | 30 | 0 | 23 | -17 | >87 ]
[ 128 | 0 | 0 | 0 | 0 | -10< | 30 | 0 | 23 | -17 | >87 ]
[ 128 | 0 | 0 | 0 | 0 | -11< | 30 | 0 | 23 | -17 | >86 ]
[ 128 | 0 | 0 | 0 | 0 | -12< | 30 | 0 | 23 | -17 | >86 ]
[ 128 | 0 | 0 | 0 | 0 | -13< | 30 | 0 | 23 | -17 | >85 ]
[ 128 | 0 | 0 | 0 | 0 | -14< | 30 | 0 | 23 | -17 | >85 ]
[ 128 | 0 | 0 | 0 | 0 | -15< | 30 | 0 | 23 | -17 | >84 ]
[ 128 | 0 | 0 | 0 | 0 | -16< | 30 | 0 | 23 | -17 | >84 ]
[ 128 | 0 | 0 | 0 | 0 | -17< | 30 | 0 | 23 | -17 | >83 ]
[ 128 | 0 | 0 | 0 | 0 | -18< | 30 | 0 | 23 | -17 | >83 ]
[ 128 | 0 | 0 | 0 | 0 | -19< | 30 | 0 | 23 | -17 | >82 ]
